model_number,star_age,star_mass,log_L,Teff,radius,log_R,log_center_T,log_center_Rho,center_h1,center_he4,center_c12,center_o16,surface_h1,surface_he4,he_core_mass,co_core_mass,fe_core_mass,surf_avg_v_div_v_crit
19,0.0015473999968531138,49.99999999928528,5.534574568218217,50954.782647625645,7.508800022356267,0.8755705381614627,7.659504896880823,0.5733691731437536,0.7600000005613667,0.23999000312162708,3.3025601879818205e-36,2.207615656861889e-48,0.7600000000000005,0.23998999999999965,0.0,0.0,0.0,0.2000016054082033
20,0.0018668799962237366,49.99999999928528,5.534574579872768,50954.78297807652,7.508800025716,0.8755705383557831,7.659504896908738,0.5733691732319701,0.760000000657553,0.2399900036532344,3.7009693846433016e-36,3.330828360350507e-48,0.7600000000000002,0.23998999999999962,0.0,0.0,0.0,0.20000160612451795
21,0.002250255995468484,49.99999999928528,5.534574590434556,50954.783274726426,7.508800029590965,0.8755705385799036,7.659504896914184,0.5733691732740858,0.7600000007668116,0.23999000425612704,4.1195197406209555e-36,4.9594488251133935e-48,0.76,0.23998999999999968,0.0,0.0,0.0,0.2000016067302792
22,0.002710307194562181,49.99999999928528,5.534574600241714,50954.78354938527,7.508800033423569,0.8755705388015741,7.659504896919129,0.573369173318427,0.7600000008902859,0.23999000493631342,4.5562645837538894e-36,7.293164456778778e-48,0.7600000000000009,0.2399899999999998,0.0,0.0,0.0,0.2000016072681229
23,0.003262368633474617,49.99999999928528,5.53457460940709,50954.78380586123,7.508800037067007,0.8755705390123035,7.659504896926315,0.5733691733820134,0.7600000010291172,0.23999000569975265,5.0094150255061284e-36,1.0601394064561042e-47,0.7600000000000007,0.2399899999999997,0.0,0.0,0.0,0.2000016077544349
24,0.00392484236016954,49.99999999928528,5.534574617970168,50954.784045266184,7.508800040534914,0.8755705392128805,7.659504896937422,0.5733691734653373,0.7600000011844384,0.23999000655232575,5.477502834061749e-36,1.524568015828169e-47,0.7600000000000003,0.23998999999999965,0.0,0.0,0.0,0.20000160819459575
25,0.004719810832203447,49.99999999928528,5.534574625986801,50954.78426922042,7.508800043832625,0.8755705394036137,7.659504896953203,0.5733691735758691,0.7600000013573687,0.2399900074998099,5.959461990650751e-36,2.1708850886708715e-47,0.7600000000000007,0.23998999999999973,0.0,0.0,0.0,0.20000160859332833
26,0.005673772998644137,49.99999999928528,5.53457463352528,50954.78447973923,7.508800046956509,0.8755705395842931,7.659504896975151,0.5733691737230625,0.7600000015490134,0.2399900085478928,6.454701165600515e-36,3.0633078748487096e-47,0.7600000000000003,0.23998999999999962,0.0,0.0,0.0,0.20000160895456037
27,0.006818527598372964,49.99999999928528,5.5345746406663,50954.78467921671,7.508800049898566,0.8755705397544561,7.659504897007096,0.5733691739151554,0.7600000017604713,0.2399900097022157,6.963120624473619e-36,4.286916272136615e-47,0.7600000000000008,0.2399899999999998,0.0,0.0,0.0,0.20000160928250857
28,0.008192233118047556,49.99999999928528,5.534574647490221,50954.78487007048,7.508800052640976,0.8755705399130718,7.659504897052266,0.5733691741683399,0.7600000019928508,0.23999001096847922,7.485145498565731e-36,5.95405112602103e-47,0.7600000000000005,0.23998999999999968,0.0,0.0,0.0,0.20000160958241897
29,0.009840679741657069,49.99999999928528,5.534574654067814,50954.7850545107,7.50880005514415,0.8755705400578505,7.659504897116706,0.5733691744995996,0.7600000022472942,0.23999001235258155,8.021701589389778e-36,8.212557736991905e-47,0.7600000000000006,0.23998999999999976,0.0,0.0,0.0,0.20000160986041277
30,0.011818815689988481,49.99999999928528,5.53457466045035,50954.78523428041,7.5088000573376075,0.8755705401847158,7.6595048972080955,0.573369174933704,0.760000002525013,0.23999001386082497,8.574216032491684e-36,1.1256465829522476e-46,0.7600000000000011,0.2399899999999999,0.0,0.0,0.0,0.20000161012227366
31,0.014192578827986177,49.99999999928528,5.534574666668094,50954.78541061648,7.508800059118432,0.8755705402877153,7.65950489733666,0.5733691755042205,0.760000002827337,0.2399900155001857,9.144628132544579e-36,1.533987140872965e-46,0.7599999999999997,0.23998999999999956,0.0,0.0,0.0,0.20000161037208825
32,0.01704109459358341,49.99999999928528,5.534574672736328,50954.785584487036,7.508800060333445,0.8755705403579893,7.659504897517656,0.5733691762535946,0.7600000031557758,0.23999001727865882,9.735423816498737e-36,2.0795131053056883e-46,0.7600000000000012,0.2399899999999999,0.0,0.0,0.0,0.20000161061176608
33,0.02045931351230009,49.99999999928528,5.534574678663978,50954.785756858684,7.508800060774863,0.87557054038352,7.659504897770703,0.5733691772411761,0.7600000035120904,0.23999001920564808,1.0349658275245881e-35,2.8056781124911215e-46,0.7600000000000008,0.2399899999999998,0.0,0.0,0.0,0.2000016108409147
34,0.024561176214760106,49.99999999928528,5.534574684464824,50954.78592907837,7.508800060164902,0.8755705403482411,7.659504898121058,0.5733691785541206,0.7600000038983815,0.23999002129244415,1.099102182396418e-35,3.769342292344645e-46,0.7600000000000005,0.23998999999999965,0.0,0.0,0.0,0.20000161105721878
